,University ID,Degree in Engineering,Degree in Math,Degree in Computer Science,Degree in Science and Tech,Region,Share of Female,Enrollment of UnderGrad,Mean Earning After 6 yrs of Grad (0-30k),Mean Earning After 6 yrs of Grad(30-75k),Mean Earning After 6 yrs of Grad(75k +),Mean Earning After 10 yrs of Grad (0-30k),Mean Earning After 10 yrs of Grad(30-75k),Mean Earning After 10 yrs of Grad(75k +)
478,123484,0.0,0.0,0.0,0.0,8,0.488888889,1791.0,23300,29700,33400,26900,38300,48000
482,123554,Degree in Engineering,Degree in Math,0.0,0.0,8,0.629740519,2762.0,43400,46700,52200,55300,59400,72400
484,123572,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.666872111,8633.0,39900,41500,42100,50800,53400,55500
487,123651,0.0,Degree in Math,0.0,0.0,8,0.660576923,1824.0,34200,39500,44700,43100,46000,54100
488,123679,0.0,0.0,0.0,0.0,8,0.726287263,577.0,30700,39100,40400,37900,49500,58300
494,123961,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.55406472,18942.0,66500,58700,59800,97700,85800,80900
500,124681,0.0,0.0,0.0,0.0,8,0.708406086,658.0,19900,25300,27800,25500,31700,33800
501,124706,0.0,0.0,0.0,0.0,8,0.809283552,617.0,25800,32900,36400,29600,41300,41800
502,124937,0.0,0.0,0.0,0.0,8,0.718249733,671.0,30900,41600,44700,39600,44700,56000
507,125231,0.0,0.0,Degree in Computer Science,0.0,4,0.812806461,6538.0,28300,45500,71400,38800,58700,82600
512,125532,0.0,0.0,0.0,0.0,8,0.872980501,1124.0,25000,34000,38400,30300,36600,43300
515,125763,Degree in Engineering,Degree in Math,0.0,0.0,8,0.573684211,1665.0,37300,34900,39100,48100,44300,56400
516,125897,0.0,0.0,0.0,0.0,8,0.568783069,1023.0,34400,40500,37400,49200,53100,56600
523,126182,0.0,Degree in Math,0.0,0.0,7,0.489082969,1876.0,25500,31300,32200,32600,41000,43500
524,126207,0.0,0.0,0.0,0.0,7,0.592539455,3689.0,27100,35800,35800,34300,39500,43700
525,126289,0.0,0.0,0.0,0.0,7,0.635072553,8409.0,30900,38800,40200,35200,44600,46600
526,126359,0.0,0.0,0.0,0.0,7,0.878881988,321.0,24600,29200,26300,28900,32200,32900
528,126562,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,7,0.579268293,11531.0,51100,47200,47100,71800,69300,72600
529,126580,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,7,0.55888651,10344.0,37200,37900,36800,49000,47100,52000
530,126605,0.0,0.0,0.0,0.0,7,0.058651026,319.0,38400,49700,49500,47200,55100,57800
531,126614,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,7,0.481516291,28565.0,40700,40800,44500,56700,57300,62400
532,126669,0.0,Degree in Math,Degree in Computer Science,0.0,7,0.727591387,4918.0,31000,37600,41700,37000,45900,48100
534,126687,0.0,0.0,0.0,0.0,7,0.854251012,676.0,25700,36700,36800,29400,38100,40500
535,126702,0.0,0.0,Degree in Computer Science,0.0,7,0.472067039,611.0,27400,31400,30800,34800,38000,40800
536,126711,0.0,0.0,0.0,0.0,7,0.50962963,3448.0,28400,32800,33600,35700,37300,39100
537,126748,0.0,0.0,0.0,0.0,7,0.642857143,637.0,33600,37500,37500,33000,50000,53000
538,126775,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,7,0.283748925,4751.0,75500,73900,74900,95000,96300,95300
540,126818,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,7,0.549675487,23804.0,39900,38500,40800,52000,52500,54600
541,126827,Degree in Engineering,0.0,Degree in Computer Science,0.0,7,0.650004067,22129.0,24300,38400,59000,35600,51300,76700
542,126863,0.0,0.0,0.0,0.0,7,0.614931238,4711.0,28100,36300,39300,35300,41000,44200
543,126872,0.0,0.0,0.0,0.0,7,0.665486726,139.0,18600,27100,28000,25700,34000,35300
545,126942,0.0,0.0,0.0,0.0,7,0.589594215,6656.0,26400,35400,37800,31100,45600,46400
546,126951,0.0,0.0,0.0,0.0,7,0.079074719,916.0,25900,33600,38100,32100,40100,44600
548,127060,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,7,0.602179837,5753.0,48400,48600,49500,66300,60300,68500
550,127185,Degree in Engineering,Degree in Math,0.0,0.0,7,0.52879902,3150.0,29500,30100,31900,37100,38100,42900
551,127200,0.0,0.0,0.0,0.0,7,0.595872743,14226.0,29700,35600,37600,36900,42900,46100
556,127556,0.0,Degree in Math,Degree in Computer Science,0.0,7,0.529213753,8494.0,29600,36800,36400,38800,43900,45100
557,127565,0.0,Degree in Math,Degree in Computer Science,0.0,7,0.56826252,18968.0,33300,38600,37400,40400,45800,49400
560,127680,0.0,0.0,Degree in Computer Science,0.0,7,0.758220503,196.0,24400,36100,46000,29400,42500,56600
562,127732,0.0,0.0,0.0,0.0,7,0.505312869,1132.0,27700,32700,33600,30700,39200,44000
563,127741,Degree in Engineering,Degree in Math,0.0,0.0,7,0.651035468,9104.0,34000,34800,36300,44200,46200,49000
564,127778,0.0,0.0,0.0,0.0,7,0.485237484,893.0,23500,32800,36700,25500,34400,42400
565,127787,0.0,0.0,0.0,0.0,7,0.87394958,125.0,19800,28700,33900,26400,34000,37600
566,127820,0.0,0.0,0.0,0.0,7,0.584523015,10856.0,26300,31500,33500,32800,38200,41100
567,127884,0.0,0.0,0.0,0.0,7,0.629415761,3641.0,23900,32400,36300,28800,36700,40100
568,127909,0.0,0.0,0.0,0.0,7,0.555825981,6150.0,29500,39800,40100,38000,47500,51200
569,127918,0.0,Degree in Math,Degree in Computer Science,0.0,7,0.641229465,4016.0,45400,54800,58700,52000,61500,69400
570,127945,0.0,0.0,Degree in Computer Science,0.0,7,0.686588921,852.0,29300,28000,32500,34700,40100,35800
